CAR_MODAL,BRAND,CAR_NAME,CAR_VARIANT,OWNER_TYPE,KM_DRIVEN,FUEL_TYPE,MONTHLY_EMI,CAR_PRICE,LOCATION
2020,Renault,Kwid,Kwid RXT 1.0 AMT (O) ,AUTOMATIC,38494,PETROL,"9,873",505000,Bangalore
2015,Mahindra,XUV500,XUV500 W10 ,MANUAL,75492,DIESEL,"19,807",911000,Bangalore
2021,Renault,Kwid,Kwid RXT 1.0 (O) ,MANUAL,3748,PETROL,"9,462",484000,Bangalore
2022,Hyundai,VENUE,VENUE SX 1.0 (O) TURBO IMT ,MANUAL,21422,PETROL,"21,889",1150000,Bangalore
2019,Maruti,Celerio,Celerio X ZXI (O) AMT ,AUTOMATIC,27215,PETROL,"9,873",505000,Bangalore
2018,Jeep,Compass,Compass LONGITUDE PLUS 1.4 PETROL AT ,AUTOMATIC,42770,PETROL,"27,657",1453000,Bangalore
2019,Jeep,Compass,Compass LIMITED (O) 2.0 DIESEL ,MANUAL,92908,DIESEL,"27,805",1461000,Bangalore
2015,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,110669,PETROL,"7,385",332000,Bangalore
2018,Maruti,Celerio,Celerio ZXI ,MANUAL,41806,PETROL,"9,189",470000,Bangalore
2018,Hyundai,Verna,Verna 1.6 VTVT SX ,MANUAL,60087,PETROL,"15,582",797000,Bangalore
2012,Honda,Jazz,Jazz 1.2L I-VTEC X ,MANUAL,35444,PETROL,"12,190",367000,Bangalore
2022,KIA,SONET,SONET HTK PLUS 1.2 ,MANUAL,14811,PETROL,"18,105",951000,Bangalore
2011,Hyundai,Santro,Santro Xing GLS ,MANUAL,55224,PETROL,"11,533",245000,Bangalore
2016,Hyundai,i10,i10 SPORTZ 1.1 ,MANUAL,48427,PETROL,"7,546",386000,Bangalore
2019,Maruti,New,New Wagon-R VXI 1.0 AMT ,AUTOMATIC,67526,PETROL,"10,225",523000,Bangalore
2016,Maruti,Vitara,Vitara Brezza ZDI ,MANUAL,91544,DIESEL,"14,741",754000,Bangalore
2011,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,34408,PETROL,"12,757",271000,Bangalore
2014,Maruti,Swift,Swift Dzire VXI ,MANUAL,100458,PETROL,"9,276",417000,Bangalore
2017,Ford,Ecosport,Ecosport TITANIUM 1.5L DIESEL ,MANUAL,44639,DIESEL,"14,936",764000,Bangalore
2020,Renault,Kwid,Kwid RXT 1.0 AMT (O) ,AUTOMATIC,11713,PETROL,"9,501",486000,Bangalore
2020,Honda,City,City 1.5L I-VTEC VX CVT ,AUTOMATIC,36093,PETROL,"23,107",1214000,Bangalore
2013,Hyundai,Eon,Eon D-LITE+ ,MANUAL,87007,PETROL,"6,283",239000,Bangalore
2016,Hyundai,Elite,Elite i20 ASTA 1.4 CRDI (O) ,MANUAL,76454,DIESEL,"12,643",647000,Bangalore
2019,Hyundai,GRAND,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT ,AUTOMATIC,18462,PETROL,"13,646",698000,Bangalore
2020,Mahindra,XUV300,XUV300 W4 1.2 PETROL ,MANUAL,19881,PETROL,"15,284",802999,Bangalore
2013,Maruti,Wagon,Wagon R Stingray VXI ,MANUAL,97830,PETROL,"7,979",303000,Bangalore
2015,Maruti,Ciaz,Ciaz ZXI+ ,MANUAL,25381,PETROL,"12,493",639000,Bangalore
2018,Mahindra,XUV500,XUV500 W11 AT ,AUTOMATIC,60820,DIESEL,"28,951",1521000,Bangalore
2014,Maruti,Celerio,Celerio VXI ,MANUAL,96979,PETROL,"7,185",323000,Bangalore
2013,Maruti,Swift,Swift Dzire VXI ,MANUAL,106215,PETROL,"11,139",423000,Bangalore
2014,Maruti,Alto,Alto K10 VXI ,MANUAL,99832,PETROL,"5,672",254999,Bangalore
2020,Tata,Tiago,Tiago XZ PLUS PETROL ,MANUAL,23692,PETROL,"12,219",625000,Bangalore
2022,Mahindra,XUV300,XUV300 W6 1.2 PETROL AMT ,AUTOMATIC,14205,PETROL,"18,996",998000,Bangalore
2016,Tata,Zest,Zest XMS PETROL ,MANUAL,80078,PETROL,"8,602",440000,Bangalore
2019,Hyundai,Verna,Verna 1.6 VTVT SX (O) AT ,AUTOMATIC,49820,PETROL,"19,491",1024000,Bangalore
2013,Honda,City,City 1.5L I-VTEC V MT ,MANUAL,103965,PETROL,"12,635",480000,Bangalore
2017,Maruti,IGNIS,IGNIS ZETA 1.2 AMT ,AUTOMATIC,68890,PETROL,"10,811",553000,Bangalore
2017,Renault,Kwid,Kwid RXT 0.8 ,MANUAL,48581,PETROL,"6,061",310000,Bangalore
2014,Honda,Amaze,Amaze 1.2L I-VTEC VX ,MANUAL,109589,PETROL,"8,386",377000,Bangalore
2020,Maruti,Ciaz,Ciaz ALPHA 1.5 SHVS PETROL ,MANUAL,52878,PETROL,"15,227",800000,Bangalore
2018,Mahindra,XUV500,XUV500 W7 AT ,AUTOMATIC,82113,DIESEL,"22,251",1169000,Bangalore
2018,Jeep,Compass,Compass LONGITUDE 2.0 DIESEL ,MANUAL,63398,DIESEL,"27,162",1427000,Bangalore
2014,Maruti,Swift,Swift ZXI ,MANUAL,56168,PETROL,"11,478",516000,Bangalore
2020,Renault,Kwid,Kwid CLIMBER 1.0 AMT (O) ,AUTOMATIC,18336,PETROL,"9,462",484000,Bangalore
2017,Tata,Tiago,Tiago XT PETROL ,MANUAL,28606,PETROL,"8,895",455000,Bangalore
2017,Renault,Kwid,Kwid RXT 1.0 ,MANUAL,45079,PETROL,"6,745",345000,Bangalore
2011,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,79484,PETROL,"12,587",267000,Bangalore
2018,Maruti,Swift,Swift VXI AMT ,AUTOMATIC,57341,PETROL,"12,121",620000,Bangalore
2018,Hyundai,Verna,Verna 1.6 VTVT SX ,MANUAL,44659,PETROL,"15,874",834000,Bangalore
2022,Hyundai,NEW,NEW I20 ASTA (O) 1.2 AT ,AUTOMATIC,12885,PETROL,"20,995",1103000,Bangalore
2016,Honda,Brio,Brio S MT ,MANUAL,53924,PETROL,"7,546",386000,Bangalore
2022,Maruti,Swift,Swift ZXI PLUS AMT DUAL TONE ,AUTOMATIC,31459,PETROL,"16,198",851000,Bangalore
2022,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,34474,PETROL,"15,151",775000,Bangalore
2011,Hyundai,i20,i20 SPORTZ (O) 1.2 ,MANUAL,65841,PETROL,"14,687",312000,Bangalore
2011,Hyundai,i10,i10 SPORTZ 1.2 ,MANUAL,91035,PETROL,"12,239",260000,Bangalore
2016,Ford,Ecosport,Ecosport TITANIUM 1.5L PETROL AT ,AUTOMATIC,50785,PETROL,"13,763",704000,Bangalore
2012,Hyundai,i20,i20 SPORTZ 1.4 CRDI ,MANUAL,83337,DIESEL,"17,370",369000,Bangalore
2012,Honda,City,City 1.5L I-VTEC V AT ,AUTOMATIC,110307,PETROL,"13,492",405999,Bangalore
2019,Hyundai,VENUE,VENUE SX PLUS 1.0 TURBO DCT ,AUTOMATIC,44309,PETROL,"18,349",964000,Bangalore
2016,Ford,Ecosport,Ecosport TREND 1.5L PETROL ,MANUAL,77820,PETROL,"11,881",608000,Bangalore
2012,Hyundai,i20,i20 SPORTZ 1.4 CRDI ,MANUAL,94940,DIESEL,"18,453",392000,Bangalore
2020,Renault,TRIBER,TRIBER RXZ ,MANUAL,41840,PETROL,"11,945",611000,Bangalore
2017,Renault,Kwid,Kwid RXT 0.8 ,MANUAL,33582,PETROL,"6,921",354000,Bangalore
2019,Renault,Kwid,Kwid CLIMBER 1.0 (O) ,MANUAL,24330,PETROL,"8,915",455999,Bangalore
2018,Hyundai,Creta,Creta SX (O) 1.6 DIESEL ,MANUAL,40746,DIESEL,"23,583",1239000,Bangalore
2018,Honda,City,City 1.5L I-VTEC VX ,MANUAL,85702,PETROL,"15,893",835000,Bangalore
2021,Renault,Kwid,Kwid CLIMBER 1.0 (O) ,MANUAL,41535,PETROL,"9,032",462000,Bangalore
2021,Skoda,KUSHAQ,KUSHAQ STYLE 1.5L TSI MT ,MANUAL,38566,PETROL,"28,228",1483000,Bangalore
2017,Renault,Duster,Duster RXS CVT ,AUTOMATIC,61457,PETROL,"12,618",645000,Bangalore
2021,Maruti,Celerio,Celerio ZXI PLUS AGS ,AUTOMATIC,45807,PETROL,"13,118",671000,Bangalore
2022,Mahindra,XUV300,XUV300 W8 (O) 1.2 PETROL AMT ,AUTOMATIC,11682,PETROL,"23,317",1225000,Bangalore
2019,Hyundai,Creta,Creta SX (O) EXECUTIVE 1.6 PETROL ,MANUAL,48476,PETROL,"21,280",1118000,Bangalore
2016,Hyundai,Elite,Elite i20 SPORTZ 1.2 ,MANUAL,36748,PETROL,"12,473",638000,Bangalore
2018,Maruti,Celerio,Celerio X VXI (O) ,MANUAL,39995,PETROL,"7,449",381000,Bangalore
2019,Hyundai,GRAND,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT ,AUTOMATIC,36365,PETROL,"12,962",663000,Bangalore
2019,Renault,TRIBER,TRIBER RXL MT ,MANUAL,50945,PETROL,"11,359",581000,Bangalore
2020,Hyundai,AURA,AURA SX 1.2 (O) ,MANUAL,41269,PETROL,"13,920",712000,Bangalore
2020,Hyundai,AURA,AURA SX PLUS 1.2 AMT ,AUTOMATIC,74849,PETROL,"12,453",637000,Bangalore
2019,Maruti,Dzire,Dzire ZXI AMT ,AUTOMATIC,28533,PETROL,"14,033",718000,Bangalore
2017,Hyundai,Creta,Creta SX PLUS AT 1.6 PETROL ,AUTOMATIC,80561,PETROL,"17,188",902999,Bangalore
2017,Volkswagen,TIGUAN,TIGUAN HIGHLINE TDI AT ,AUTOMATIC,88461,DIESEL,"34,909",1834000,Bangalore
2012,Maruti,Ertiga,Ertiga ZDI ,MANUAL,106213,DIESEL,"28,574",607000,Bangalore
2021,MG,HECTOR,HECTOR PLUS SHARP 1.5 PETROL TURBO DCT 6-STR ,AUTOMATIC,31138,PETROL,"32,320",1698000,Bangalore
2017,Hyundai,Creta,Creta SX PLUS 1.6 PETROL ,MANUAL,52427,PETROL,"17,188",902999,Bangalore
2015,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,49078,PETROL,"6,960",356000,Bangalore
2011,Hyundai,i20,i20 SPORTZ 1.2 ,MANUAL,52325,PETROL,"15,393",327000,Bangalore
2020,Datsun,Redi,Redi Go T(O) 1.0 AMT ,AUTOMATIC,16537,PETROL,"8,602",440000,Bangalore
2021,Tata,Tiago,Tiago XZ PETROL ,MANUAL,26041,PETROL,"12,375",633000,Bangalore
2018,Renault,Kwid,Kwid RXT 1.0 AMT (O) ,AUTOMATIC,90363,PETROL,"6,960",356000,Bangalore
2015,Maruti,Ertiga,Ertiga ZXI ,MANUAL,46440,PETROL,"14,037",718000,Bangalore
2016,Maruti,Celerio,Celerio ZXI ,MANUAL,46240,PETROL,"8,758",448000,Bangalore
2011,Hyundai,i20,i20 SPORTZ (O) 1.2 ,MANUAL,111350,PETROL,"14,075",299000,Bangalore
2023,Maruti,New,New Wagon-R ZXI 1.2 ,MANUAL,2896,PETROL,"13,548",693000,Bangalore
2019,Renault,Kwid,Kwid RXT 1.0 AMT (O) ,AUTOMATIC,17107,PETROL,"9,580",490000,Bangalore
2014,Maruti,Swift,Swift Dzire ZXI ,MANUAL,122178,PETROL,"10,032",451000,Bangalore
2019,Maruti,Celerio,Celerio VXI (O) ,MANUAL,28904,PETROL,"9,423",482000,Bangalore
2017,Hyundai,Creta,Creta SX PLUS AT 1.6 PETROL ,AUTOMATIC,55620,PETROL,"18,863",991000,Bangalore
2017,Honda,Jazz,Jazz 1.2L I-VTEC V AT ,AUTOMATIC,68331,PETROL,"10,342",529000,Bangalore
2014,Maruti,Swift,Swift VXI ,MANUAL,95421,PETROL,"9,343",420000,Bangalore
2018,Hyundai,Verna,Verna 1.6 VTVT SX ,MANUAL,15912,PETROL,"17,378",913000,Bangalore
2011,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,38782,PETROL,"12,538",266000,Bangalore
2020,Tata,NEXON,NEXON XZ PLUS PETROL ,MANUAL,67069,PETROL,"15,885",835000,Bangalore
2016,Hyundai,Elite,Elite i20 ASTA 1.2 (O) ,MANUAL,36174,PETROL,"13,490",690000,Bangalore
2019,Honda,City,City 1.5L I-VTEC VX ,MANUAL,55227,PETROL,"17,492",919000,Bangalore
2023,Honda,Amaze,Amaze 1.2L I-VTEC VX CVT ,AUTOMATIC,10391,PETROL,"18,063",949000,Bangalore
2019,Renault,Kwid,Kwid RXT 1.0 (O) ,MANUAL,23550,PETROL,"7,572",387000,Bangalore
2018,Honda,WR-V,WR-V 1.2L I-VTEC VX MT ,MANUAL,22231,PETROL,"13,978",715000,Bangalore
2020,Hyundai,AURA,AURA SX+ 1.0 TURBO GDI MT ,MANUAL,39864,PETROL,"14,463",740000,Bangalore
2017,Skoda,Rapid,Rapid STYLE 1.5 TDI AT ,AUTOMATIC,94742,DIESEL,"16,046",843000,Bangalore
2018,Datsun,Redi,Redi Go S 1.0 ,MANUAL,42955,PETROL,"5,924",303000,Bangalore
2014,Maruti,Swift,Swift Dzire VXI ,MANUAL,61511,PETROL,"9,365",421000,Bangalore
2020,Mahindra,XUV500,XUV500 W11 AT ,AUTOMATIC,59594,DIESEL,"30,150",1584000,Bangalore
2021,Maruti,IGNIS,IGNIS DELTA 1.2 AMT ,AUTOMATIC,31951,PETROL,"12,629",646000,Bangalore
2018,Maruti,Celerio,Celerio ZXI ,MANUAL,19171,PETROL,"9,052",463000,Bangalore
2022,MG,HECTOR,HECTOR PLUS SELECT 2.0 DIESEL TURBO MT 7-STR ,MANUAL,15431,DIESEL,"39,591",2080000,Bangalore
2019,Honda,Amaze,Amaze 1.5L I-DTEC V CVT ,AUTOMATIC,49663,DIESEL,"14,663",750000,Bangalore
2015,Maruti,Alto,Alto 800 LXI ,MANUAL,85107,PETROL,"5,298",271000,Bangalore
2019,Renault,Kwid,Kwid RXT 1.0 (O) ,MANUAL,20725,PETROL,"8,641",442000,Bangalore
2017,Hyundai,i20,i20 Active 1.2 SX ,MANUAL,69694,PETROL,"12,688",649000,Bangalore
2017,Hyundai,Creta,Creta SX PLUS 1.6 PETROL ,MANUAL,61235,PETROL,"17,188",902999,Bangalore
2014,Maruti,Celerio,Celerio VXI AMT ,AUTOMATIC,14522,PETROL,"8,386",377000,Bangalore
2017,Maruti,Swift,Swift VXI ,MANUAL,77191,PETROL,"10,068",515000,Bangalore
2014,Maruti,Swift,Swift VXI ,MANUAL,71516,PETROL,"10,633",478000,Bangalore
2015,Hyundai,Eon,Eon ERA + ,MANUAL,22557,PETROL,"5,904",302000,Bangalore
2014,Mahindra,XUV500,XUV500 W6 ,MANUAL,94593,DIESEL,"20,567",781000,Bangalore
2021,Hyundai,ALCAZAR,ALCAZAR 1.5 SIGNATURE (O) AT 6STR ,AUTOMATIC,24546,DIESEL,"36,127",1898000,Bangalore
2018,Mahindra,XUV500,XUV500 W11 AT ,AUTOMATIC,36626,DIESEL,"31,273",1643000,Bangalore
2015,Hyundai,Grand,Grand i10 SPORTZ 1.2 KAPPA VTVT ,MANUAL,23523,PETROL,"8,745",447000,Bangalore
2017,Hyundai,Creta,Creta E PLUS 1.6 PETROL ,MANUAL,55852,PETROL,"16,255",853999,Bangalore
2012,Hyundai,i20,i20 ASTA 1.4 CRDI ,MANUAL,102029,DIESEL,"18,829",400000,Bangalore
2019,Datsun,Go,Go T CVT ,AUTOMATIC,70260,PETROL,"8,426",430999,Bangalore
2019,Maruti,Baleno,Baleno ALPHA PETROL 1.2 ,MANUAL,36932,PETROL,"14,213",727000,Bangalore
2014,Hyundai,i10,i10 SPORTZ 1.1 ,MANUAL,82502,PETROL,"6,551",294000,Bangalore
2021,Skoda,KUSHAQ,KUSHAQ AMBITION 1.0L TSI AT ,AUTOMATIC,17310,PETROL,"26,001",1366000,Bangalore
2014,Mahindra,XUV500,XUV500 W6 ,MANUAL,119125,DIESEL,"19,303",733000,Bangalore
2018,Hyundai,Verna,Verna 1.6 VTVT SX ,MANUAL,55600,PETROL,"15,779",828999,Bangalore
2019,Renault,Duster,Duster 110 PS RXS 4X2 AMT DIESEL ,AUTOMATIC,47106,DIESEL,"17,915",941000,Bangalore
2012,Maruti,Swift,Swift Dzire ZXI ,MANUAL,36201,PETROL,"17,105",515000,Bangalore
2022,Hyundai,ALCAZAR,ALCAZAR 2.0 SIGNATURE (O) AT 7STR ,AUTOMATIC,11009,PETROL,"35,955",1889000,Bangalore
2011,Toyota,Etios,Etios G ,MANUAL,100303,PETROL,"15,111",321000,Bangalore
2013,Hyundai,i20,i20 ASTA 1.2 ,MANUAL,66176,PETROL,"10,981",417000,Bangalore
2013,Maruti,Swift,Swift Dzire VXI ,MANUAL,98155,PETROL,"11,508",437000,Bangalore
2020,Honda,Jazz,Jazz 1.2L I-VTEC ZX ,MANUAL,43340,PETROL,"15,855",833000,Bangalore
2016,Hyundai,Creta,Creta SX PLUS 1.6 PETROL ,MANUAL,69273,PETROL,"16,236",852999,Bangalore
2016,Hyundai,Grand,Grand i10 ASTA (O) 1.2 KAPPA VTVT ,MANUAL,27464,PETROL,"10,049",513999,Bangalore
2019,Hyundai,VENUE,VENUE SX PLUS 1.0 TURBO DCT ,AUTOMATIC,43922,PETROL,"17,131",900000,Bangalore
2017,Honda,Jazz,Jazz 1.2L I-VTEC V ,MANUAL,55531,PETROL,"11,359",581000,Bangalore
2014,Honda,Brio,Brio S MT ,MANUAL,73789,PETROL,"7,919",356000,Bangalore
2016,Maruti,Ciaz,Ciaz ZXI AT ,AUTOMATIC,96520,PETROL,"11,300",578000,Bangalore
2021,Renault,Kwid,Kwid RXT 0.8 ,MANUAL,26104,PETROL,"8,524",436000,Bangalore
2012,Honda,Brio,Brio S(O) MT ,MANUAL,143991,PETROL,"9,466",285000,Bangalore
2018,Maruti,Celerio,Celerio ZXI (O) ,MANUAL,93813,PETROL,"8,739",447000,Bangalore
2016,Honda,Amaze,Amaze 1.2L I-VTEC VX ,MANUAL,43434,PETROL,"10,029",513000,Bangalore
2016,Volkswagen,Vento,Vento HIGHLINE PETROL AT ,AUTOMATIC,88166,PETROL,"12,669",648000,Bangalore
2013,Maruti,Ritz,Ritz VXI ,MANUAL,75497,PETROL,"9,375",356000,Bangalore
2020,Honda,City,City 1.5L I-VTEC ZX ,MANUAL,30951,PETROL,"20,709",1088000,Bangalore
2017,Hyundai,Creta,Creta SX PLUS 1.6 PETROL ,MANUAL,68811,PETROL,"17,968",944000,Bangalore
2022,KIA,SONET,SONET GTX PLUS 1.5 AT ,AUTOMATIC,18623,DIESEL,"26,857",1411000,Bangalore
2018,Renault,Kwid,Kwid CLIMBER 1.0 AMT ,AUTOMATIC,52734,PETROL,"7,664",392000,Bangalore
2019,Renault,Duster,Duster 110 PS RXZ MT DIESEL ,MANUAL,80160,DIESEL,"15,627",821000,Bangalore
2012,Maruti,Swift,Swift Dzire VDI ,MANUAL,110904,DIESEL,"20,053",426000,Bangalore
2023,Hyundai,VENUE,VENUE SX 1.0 (O) TURBO IMT ,MANUAL,6278,PETROL,"23,184",1218000,Bangalore
2021,Skoda,Rapid,Rapid AMBITION AT TSI ,AUTOMATIC,50295,PETROL,"20,420",1073000,Bangalore
2018,Maruti,Celerio,Celerio VXI (O) ,MANUAL,69515,PETROL,"8,504",434999,Bangalore
2017,Hyundai,Elite,Elite i20 ASTA 1.2 ,MANUAL,43170,PETROL,"13,939",713000,Bangalore
2023,Tata,NEXON,NEXON XM PETROL ,MANUAL,16129,PETROL,"17,359",911999,Bangalore
2022,KIA,CARENS,CARENS LUXURY 1.4 PETROL 7 STR ,MANUAL,11437,PETROL,"32,168",1689999,Bangalore
2012,Honda,City,City 1.5L I-VTEC V MT ,MANUAL,57296,PETROL,"13,917",419000,Bangalore
2018,Renault,Duster,Duster RXS CVT ,AUTOMATIC,31875,PETROL,"14,017",717000,Bangalore
2018,Nissan,Micra,Micra Active XL O ,MANUAL,33048,PETROL,"7,879",403000,Bangalore
2018,Hyundai,Grand,Grand i10 SPORTZ (O) 1.2 KAPPA VTVT ,MANUAL,103142,PETROL,"10,344",465000,Bangalore
2016,Hyundai,Grand,Grand i10 ASTA (O) 1.2 KAPPA VTVT ,MANUAL,65458,PETROL,"9,892",505999,Bangalore
2022,KIA,CARENS,CARENS LUXURY PLUS 1.4 PETROL 7 STR ,MANUAL,15145,PETROL,"33,253",1747000,Bangalore
2011,Honda,City,City 1.5L I-VTEC V MT ,MANUAL,68165,PETROL,"16,334",347000,Bangalore
2020,Tata,NEXON,NEXON XZA PLUS PETROL ,AUTOMATIC,40443,PETROL,"16,940",890000,Bangalore
2016,Maruti,Swift,Swift VXI ,MANUAL,65555,PETROL,"11,320",579000,Bangalore
2019,Maruti,S,S PRESSO VXI+ ,MANUAL,35153,PETROL,"7,996",409000,Bangalore
2021,Maruti,Celerio,Celerio ZXI PLUS AGS ,AUTOMATIC,20405,PETROL,"12,629",646000,Bangalore
2019,Mahindra,XUV300,XUV300 W8 (O) 1.5 DIESEL ,MANUAL,18346,DIESEL,"21,604",1135000,Bangalore
2021,Maruti,S,S PRESSO VXI+ ,MANUAL,34267,PETROL,"8,954",458000,Bangalore
2017,Hyundai,Grand,Grand i10 SPORTZ AT 1.2 KAPPA VTVT ,AUTOMATIC,47224,PETROL,"11,065",566000,Bangalore
2021,Renault,Kwid,Kwid RXT 1.0 (O) ,MANUAL,32862,PETROL,"8,719",446000,Bangalore
2014,Renault,Duster,Duster 85 PS RXE DIESEL ADVENTURE ,MANUAL,73314,DIESEL,"16,511",627000,Bangalore
2011,Maruti,Wagon,Wagon R 1.0 VXI ,MANUAL,61600,PETROL,"13,604",289000,Bangalore
2011,Hyundai,Santro,Santro Xing GL PLUS ,MANUAL,78152,PETROL,"11,674",248000,Bangalore
2022,Mahindra,XUV300,XUV300 W8 (O) 1.2 PETROL AMT ,AUTOMATIC,11911,PETROL,"24,211",1272000,Bangalore
2019,Tata,NEXON,NEXON XZA PLUS DIESEL ,AUTOMATIC,60079,DIESEL,"16,407",861999,Bangalore
2011,Hyundai,i10,i10 MAGNA 1.1 ,MANUAL,70441,PETROL,"12,333",262000,Bangalore
2014,Hyundai,Grand,Grand i10 ASTA AT 1.2 KAPPA VTVT ,AUTOMATIC,83346,PETROL,"9,788",440000,Bangalore
2022,Renault,Kwid,Kwid RXT 1.0 ,MANUAL,31621,PETROL,"9,110",466000,Bangalore
2022,KIA,SONET,SONET HTX ANNIVERSARY EDITION 1.5 ,MANUAL,21176,DIESEL,"24,364",1280000,Bangalore
2017,Hyundai,Grand,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT ,AUTOMATIC,46083,PETROL,"10,068",515000,Bangalore
2016,Hyundai,Grand,Grand i10 ASTA (O) 1.2 KAPPA VTVT ,MANUAL,15069,PETROL,"11,105",568000,Bangalore
2014,Hyundai,Verna,Verna FLUIDIC 1.6 VTVT SX AT ,AUTOMATIC,107887,PETROL,"11,278",507000,Bangalore
2019,Renault,TRIBER,TRIBER RXZ ,MANUAL,70228,PETROL,"12,669",648000,Bangalore
2016,Honda,Jazz,Jazz 1.2L I-VTEC V ,MANUAL,54782,PETROL,"11,105",568000,Bangalore
2016,Volkswagen,Vento,Vento HIGHLINE PETROL AT ,AUTOMATIC,72451,PETROL,"13,294",680000,Bangalore
2022,Maruti,Ciaz,Ciaz ALPHA 1.5 SHVS PETROL ,MANUAL,14772,PETROL,"20,176",1060000,Bangalore
2014,Renault,Duster,Duster 110 PS RXZ 4X4 MT DIESEL ,MANUAL,105355,DIESEL,"15,695",596000,Bangalore
2015,Maruti,Celerio,Celerio VXI AMT ,AUTOMATIC,29628,PETROL,"8,094",413999,Bangalore
2016,Hyundai,Creta,Creta SX PLUS AT 1.6 PETROL ,AUTOMATIC,94859,PETROL,"16,103",846000,Bangalore
2014,Mahindra,XUV500,XUV500 W6 ,MANUAL,92368,DIESEL,"20,303",771000,Bangalore
2017,Hyundai,Grand,Grand i10 MAGNA 1.2 KAPPA VTVT ,MANUAL,28474,PETROL,"9,838",503000,Bangalore
2017,Maruti,Alto,Alto K10 VXI ,MANUAL,13628,PETROL,"7,644",391000,Bangalore
2023,Renault,Kwid,Kwid RXT 1.0 ,MANUAL,1768,PETROL,"11,300",578000,Bangalore
2015,Honda,Jazz,Jazz 1.2L I-VTEC V AT ,AUTOMATIC,23660,PETROL,"11,789",603000,Bangalore
2022,Maruti,Dzire,Dzire ZXI Plus AMT ,AUTOMATIC,24567,PETROL,"16,617",873000,Bangalore
2017,Hyundai,Verna,Verna 1.6 VTVT SX AT ,AUTOMATIC,58359,PETROL,"14,995",767000,Bangalore
2016,Hyundai,Creta,Creta SX PLUS 1.6 PETROL ,MANUAL,105587,PETROL,"17,459",802999,Bangalore
2019,Honda,Amaze,Amaze 1.2L I-VTEC VX CVT ,AUTOMATIC,41243,PETROL,"14,057",719000,Bangalore
2020,KIA,SONET,SONET GTX PLUS 1.5D AT ,AUTOMATIC,52562,DIESEL,"22,277",1170000,Bangalore
2019,Honda,Amaze,Amaze 1.5L I-DTEC V CVT ,AUTOMATIC,54392,DIESEL,"15,366",786000,Bangalore
2017,Maruti,Dzire,Dzire VDI AMT ,AUTOMATIC,77413,DIESEL,"13,939",713000,Bangalore
2022,Tata,NEXON,NEXON XZ PLUS (PREMIUM) DARK EDITION PETROL ,MANUAL,24386,PETROL,"22,232",1168000,Bangalore
2022,Renault,Kwid,Kwid CLIMBER MT 1.0 ,MANUAL,13364,PETROL,"10,753",550000,Bangalore
2022,Honda,City,City 1.5L I-VTEC ZX CVT ,AUTOMATIC,9928,PETROL,"28,094",1476000,Bangalore
2016,Renault,Duster,Duster 85 PS RXZ DIESEL ,MANUAL,51829,DIESEL,"14,839",759000,Bangalore
2016,Honda,Brio,Brio S MT ,MANUAL,79289,PETROL,"7,292",373000,Bangalore
2017,Renault,Kwid,Kwid RXT 1.0 ,MANUAL,70817,PETROL,"6,628",339000,Bangalore
2019,Hyundai,Creta,Creta SX AT 1.6 PETROL ,AUTOMATIC,37657,PETROL,"22,898",1203000,Bangalore
2016,Maruti,Baleno,Baleno ALPHA PETROL 1.2 ,MANUAL,27306,PETROL,"12,981",664000,Bangalore
2022,Tata,NEXON,NEXON XZ PLUS (O) DIESEL DARK EDITION ,MANUAL,14434,DIESEL,"26,172",1375000,Bangalore
2022,Tata,NEXON,NEXON XZ PLUS DIESEL KAZIRANGA ,MANUAL,14871,DIESEL,"25,144",1321000,Bangalore
2022,Tata,NEXON,NEXON XZA PLUS (HS) PETROL ,AUTOMATIC,26350,PETROL,"22,651",1190000,Bangalore
2017,Hyundai,Elite,Elite i20 ASTA 1.2 ,MANUAL,82689,PETROL,"12,844",657000,Bangalore
2017,Hyundai,Grand,Grand i10 ASTA 1.2 KAPPA VTVT ,MANUAL,45003,PETROL,"9,775",500000,Bangalore
2020,Honda,City,City 1.5L I-VTEC VX CVT ,AUTOMATIC,41750,PETROL,"21,413",1125000,Bangalore
2022,KIA,SELTOS,SELTOS GTX PLUS 1.5 DIESEL AT ,AUTOMATIC,28064,DIESEL,"35,870",1884000,Bangalore
2013,Hyundai,i20,i20 MAGNA (O) 1.2 ,MANUAL,96431,PETROL,"9,646",366000,Bangalore
2020,Tata,NEXON,NEXON XZ PLUS SUNROOF PETROL DUAL TONE ,MANUAL,45321,PETROL,"17,397",914000,Bangalore
2017,Maruti,Celerio,Celerio ZXI AMT ,AUTOMATIC,113666,PETROL,"9,409",423000,Bangalore
2017,Renault,Kwid,Kwid RXL 1.0 AMT ,AUTOMATIC,35566,PETROL,"6,569",336000,Bangalore
