CAR_MODAL,BRAND,CAR_NAME,CAR_VARIANT,OWNER_TYPE,KM_DRIVEN,FUEL_TYPE,MONTHLY_EMI,CAR_PRICE,LOCATION
2019,MG,HECTOR,HECTOR SMART 1.5 DCT PETROL ,AUTOMATIC,14172,PETROL,"25,106",1319000,New Delhi
2015,Hyundai,Elite,Elite i20 MAGNA 1.2 ,MANUAL,38116,PETROL,"8,348",426999,New Delhi
2019,Hyundai,GRAND,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT ,MANUAL,29932,PETROL,"10,166",520000,New Delhi
2019,Mahindra,XUV300,XUV300 W8 (O) 1.2 PETROL ,MANUAL,52895,PETROL,"15,230",779000,New Delhi
2021,Hyundai,VENUE,VENUE SX 1.0 TURBO IMT ,MANUAL,43632,PETROL,"15,932",836999,New Delhi
2019,Renault,Kwid,Kwid RXT 1.0 AMT (O) ,AUTOMATIC,13568,PETROL,"8,016",409999,New Delhi
2018,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,77462,PETROL,"8,866",454000,New Delhi
2020,MG,HECTOR,HECTOR SMART HYBRID 1.5 PETROL ,MANUAL,38585,PETROL,"23,488",1234000,New Delhi
2019,Hyundai,Elite,Elite i20 MAGNA PLUS 1.4 CRDI ,MANUAL,62874,DIESEL,"13,792",620000,New Delhi
2021,Renault,Kwid,Kwid RXT 1.0 (O) ,MANUAL,46746,CNG,"7,234",370000,New Delhi
2022,KIA,SONET,SONET HTK PLUS 1.2 ,MANUAL,12265,PETROL,"16,350",859000,New Delhi
2019,Honda,Amaze,Amaze 1.2L I-VTEC S ,MANUAL,47429,PETROL,"10,733",549000,New Delhi
2019,Maruti,New,New Wagon-R VXI 1.2 AMT ,AUTOMATIC,12716,PETROL,"10,244",524000,New Delhi
2023,Tata,NEXON,NEXON XZ PLUS PETROL SUNROOF ,MANUAL,24415,PETROL,"19,034",1000000,New Delhi
2015,Maruti,Ciaz,Ciaz VXI+ ,MANUAL,56400,PETROL,"9,674",495000,New Delhi
2022,Nissan,MAGNITE,MAGNITE XV DUAL TONE ,MANUAL,20512,PETROL,"13,157",673000,New Delhi
2013,Honda,Amaze,Amaze 1.2L I-VTEC EX ,MANUAL,107855,PETROL,"7,189",273000,New Delhi
2020,Maruti,Alto,Alto VXI ,MANUAL,35457,PETROL,"6,510",333000,New Delhi
2019,Honda,Jazz,Jazz 1.2L I-VTEC V ,MANUAL,54689,PETROL,"11,300",578000,New Delhi
2022,Renault,TRIBER,TRIBER RXL MT ,MANUAL,21089,PETROL,"12,336",631000,New Delhi
2017,Maruti,Ciaz,Ciaz ALPHA 1.4 PETROL ,MANUAL,43537,PETROL,"13,235",677000,New Delhi
2016,Hyundai,Creta,Creta SX PLUS AT 1.6 PETROL ,AUTOMATIC,101240,PETROL,"16,216",729000,New Delhi
2020,Maruti,S,S PRESSO LXI ,MANUAL,26213,PETROL,"6,354",325000,New Delhi
2020,Maruti,S,S PRESSO VXI+ ,MANUAL,15966,PETROL,"7,957",407000,New Delhi
2019,MG,HECTOR,HECTOR SMART 1.5 DCT PETROL ,AUTOMATIC,8487,PETROL,"26,724",1404000,New Delhi
2017,Maruti,Baleno,Baleno SIGMA PETROL 1.2 ,MANUAL,44732,PETROL,"8,563",438000,New Delhi
2017,Maruti,Ciaz,Ciaz ALPHA 1.4 PETROL ,MANUAL,93015,PETROL,"11,280",577000,New Delhi
2020,Honda,Amaze,Amaze 1.2L I-VTEC S ,MANUAL,52036,PETROL,"11,320",579000,New Delhi
2013,Maruti,Swift,Swift Dzire VXI ,MANUAL,82412,PETROL,"7,610",289000,New Delhi
2014,Maruti,Alto,Alto K10 VXI ,MANUAL,80912,PETROL,"4,783",215000,New Delhi
2020,Tata,Tiago,Tiago XZA PLUS DUAL TONE PETROL ,AUTOMATIC,33731,PETROL,"9,990",511000,New Delhi
2017,Honda,City,City 1.5L I-VTEC ZX CVT ,AUTOMATIC,39103,PETROL,"15,608",819999,New Delhi
2021,Maruti,IGNIS,IGNIS SIGMA 1.2 ,MANUAL,25742,PETROL,"9,501",486000,New Delhi
2019,Honda,WR-V,WR-V 1.2L I-VTEC VX MT ,MANUAL,17242,PETROL,"14,193",726000,New Delhi
2019,Hyundai,Creta,Creta SX (O) 1.6 DIESEL ,MANUAL,72474,DIESEL,"24,221",1114000,New Delhi
2016,Honda,Jazz,Jazz 1.2L I-VTEC V ,MANUAL,79166,PETROL,"7,542",386000,New Delhi
2016,Hyundai,Creta,Creta SX PLUS 1.6 PETROL ,MANUAL,78062,PETROL,"14,624",748000,New Delhi
2017,Maruti,Baleno,Baleno DELTA CVT PETROL 1.2 ,AUTOMATIC,50509,PETROL,"9,677",495000,New Delhi
2022,KIA,SONET,SONET HTK 1.5 ,MANUAL,23502,DIESEL,"18,178",955000,New Delhi
2019,Tata,TIGOR,TIGOR XZA PETROL ,AUTOMATIC,70408,PETROL,"9,306",476000,New Delhi
2020,Maruti,New,New Wagon-R LXI 1.0 ,MANUAL,24266,PETROL,"9,365",479000,New Delhi
2017,Ford,Ecosport,Ecosport TITANIUM + 1.5L PETROL AT ,AUTOMATIC,48227,PETROL,"12,434",636000,New Delhi
2014,Maruti,Wagon,Wagon R 1.0 LXI ,MANUAL,64539,PETROL,"5,618",252999,New Delhi
2018,Volkswagen,Polo,Polo COMFORTLINE 1.0L MPI ,MANUAL,96717,PETROL,"10,674",546000,New Delhi
2021,Tata,Harrier,Harrier XZA PLUS 2.0L KAZIRANGA ,AUTOMATIC,21995,DIESEL,"31,292",1644000,New Delhi
2021,Tata,ALTROZ,ALTROZ XM PLUS PETROL ,MANUAL,40167,PETROL,"11,554",591000,New Delhi
2017,Datsun,Go,Go ANNIVERSARY EDITION ,MANUAL,50724,PETROL,"5,865",300000,New Delhi
2019,Honda,Amaze,Amaze 1.5L I-DTEC E ,MANUAL,43683,DIESEL,"12,857",578000,New Delhi
2014,Honda,City,City 1.5L I-VTEC VX CVT ,AUTOMATIC,94423,PETROL,"10,611",476999,New Delhi
2020,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,60770,PETROL,"11,750",601000,New Delhi
2019,Tata,NEXON,NEXON XZ PLUS PETROL ,MANUAL,34357,PETROL,"14,936",764000,New Delhi
2014,Hyundai,i20,i20 SPORTZ 1.2 ,MANUAL,78713,PETROL,"7,719",347000,New Delhi
2021,Tata,NEXON,NEXON XZA PLUS PETROL ,AUTOMATIC,17824,PETROL,"17,873",939000,New Delhi
2015,Toyota,Corolla,Corolla Altis VL CVT PETROL ,AUTOMATIC,100681,PETROL,"17,729",797000,New Delhi
2016,Honda,City,City 1.5L I-VTEC VX ,MANUAL,56424,PETROL,"12,278",628000,New Delhi
2018,Tata,NEXON,NEXON XZA PLUS PETROL DUAL TONE ,AUTOMATIC,85837,PETROL,"13,001",665000,New Delhi
2020,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,25476,PETROL,"12,278",628000,New Delhi
2020,Tata,NEXON,NEXON XZ PLUS PETROL ,MANUAL,62246,PETROL,"15,265",802000,New Delhi
2021,Hyundai,XCENT,XCENT PRIME T+ CNG ,MANUAL,30541,CNG,"12,473",638000,New Delhi
